Topology,Host name,Parallelism Level,"Bandwidth cap (bitrate, Gbps)",Protocol,Packet Loss,Throughput (Gbps)
"star, k=4",h4,1,75,udp,0.7615824794205434,2.4335523103131727
"star, k=4",h4,2,25,udp,2.00044082508015,4.554342485287558
"star, k=4",h4,2,50,udp,1.182866022842739,4.637231262292024
"star, k=4",h4,2,75,udp,0.17474288779270714,3.842410683113174
"star, k=4",h4,4,25,udp,0.6610276344086998,7.6464161054016415
"star, k=4",h4,4,50,udp,0.4337818497357359,8.213788169794576
"star, k=4",h4,4,75,udp,0.5282875092283695,8.098368409059665
"star, k=4",h4,1,25,quic,0,24.99900821949749
"star, k=4",h4,1,50,quic,0,30.023880612189842
"star, k=4",h4,1,75,quic,0,30.4581455348255
"star, k=4",h4,2,25,quic,0,49.99644339314551
"star, k=4",h4,2,50,quic,0,54.64699189955132
"star, k=4",h4,2,75,quic,0,52.58048545756444
"star, k=4",h4,4,25,quic,0,93.94962491965691
"star, k=4",h4,4,50,quic,0,85.49507617030318
"star, k=4",h4,4,75,quic,0,84.7683129414794
"star, k=8",h2,1,25,tcp,0,24.993312733834554
"star, k=8",h2,1,50,tcp,0,29.636940149011654
"star, k=8",h2,1,75,tcp,0,29.54261619920738
"star, k=8",h2,2,25,tcp,0,49.8776843203711
"star, k=8",h2,2,50,tcp,0,52.526838313761154
"star, k=8",h2,2,75,tcp,0,52.94616451249547
"star, k=8",h2,4,25,tcp,0,92.86987380136189
"star, k=8",h2,4,50,tcp,0,86.43120080661643
"star, k=8",h2,4,75,tcp,0,83.63622753099037
"star, k=8",h2,1,25,udp,0.8454738762003223,2.046956967997385
"star, k=8",h2,1,50,udp,5.318498914398037,2.253599951132134
"star, k=8",h2,1,75,udp,0.6141904421280636,2.419003262214106
"star, k=8",h2,2,25,udp,0.23189846933074934,4.648561900450836
"star, k=8",h2,2,50,udp,0.3275291051895881,4.643614334731635
"star, k=8",h2,2,75,udp,0.3019044169087187,4.696759125722332
"star, k=8",h2,4,25,udp,0.9086623479421606,8.314320254806747
"star, k=8",h2,4,50,udp,0.39450029304769035,8.213146163971766
"star, k=8",h2,4,75,udp,0.5345615716437155,7.935898464727775
"star, k=8",h2,1,25,quic,0,24.997581249049098
"star, k=8",h2,1,50,quic,0,30.04400044221312
"star, k=8",h2,1,75,quic,0,30.0419610452209
"star, k=8",h2,2,25,quic,0,49.96765404817765
"star, k=8",h2,2,50,quic,0,53.1150838607399
"star, k=8",h2,2,75,quic,0,51.202035668937455
